
0, 1 2 3 0 0;
1, 1 2 3 4 0;
2, 1 2 3 4 5 6 7 8;
3, 1 2 3 5 8 13 ;
4, 1 3 4 7 11 18 ;
5, 1 3 5 15 0 ;
6, 1 3 9 0 0 ;
7, 1 6 9 0 0;
8, 2 3 4 0 0;
9, 3 4 5 0 0;
10, 3 4 6 0 0;
11, 3 5 7 0 0;
12, 3 5 7 9 0;
13, 3 5 7 15 21 35;
14, 3 5 9 15 0;
15, 3 5 9 15 27 45;
16, 3 7 9 21 0;
17, 3 7 15 21 0;
18, 3 9 11 33 0;
19, 3 9 13 39 0;
20, 4 5 6 0;
21, 4 5 6 7 0;
22, 4 5 6 7 9;
23, 4 5 6 7 9 11;
24, 4 5 6 7 9 11 13;
25, 4 5 6 7 9 11 13 1;
26, 4 5 6 9 0;
27, 4 5 7 0 0;
28, 4 6 7 0 0;
29, 4 6 7 9 0;
30, 4 6 7 9 11;
31, 4 6 9 0 0;
32, 4 6 9 16 0;
33, 4 10 14 19 0;
34, 5 6 7 0 0;
35, 5 6 7 8 0;
36, 5 6 7 9 0;
37, 5 6 8 0 0;
38, 5 7 9 0 0;
39, 5 7 9 11 0;
40, 5 7 9 12 0;
41, 5 7 9 15 0;
42, 5 7 15 35 0;
43, 6 7 8 0 0;
44, 6 7 8 10 0;
45, 6 7 9 0 0;
46, 6 7 9 10 0;
47, 6 7 9 11 0;
48, 6 7 9 11 13;
49, 6 7 10 0 0;
50, 6 8 9 0 0;
51, 6 8 9 10 0;
52, 6 8 9 12 0;
53, 6 15 21 28 0;
54, 7 8 10 12 0;
55, 7 9 11 0 0;
56, 7 9 12 0 0;
57, 7 9 15 0 0;
58, 7 9 15 21 0;
59, 7 10 12 0 0;
60, 8 9 10 12 0;
61, 8 9 12 0 0;
62, 8 10 11 12 14;
63, 8 10 11 12 13 14;
64, 8 10 12 14 17;
65, 8 10 12 15 0;
66, 8 10 12 15 18;
67, 8 10 13 0 0;
68, 8 10 14 19 0;
69, 8 10 14 19 23;
70, 8 10 15 0 0;
71, 8 11 14 0 0;
72, 8 12 15 0 0;
73, 9 10 12 15 0;
74, 9 11 13 0 0;
75, 9 11 13 15 0;
76, 9 12 14 0 0;
77, 9 12 16 0 0;
78, 9 12 16 20 0;
79, 10 11 12 13 15;
80, 10 12 14 17 0;
81, 10 12 15 0 0;
82, 10 12 15 16 0;
83, 10 12 15 17 0;
84, 10 12 15 18 0;
85, 3 4 5 7 0;
86, 4 5 6 7 0;
87, 4 5 6 7 9;
88, 5 6 7 9 0;
89, 9 10 13 15 0;
90, 10 13 15 0 0;
91, 10 13 15 18 0;
92, 11 13 15 0 0;
93, 12 13 14 16 0;
94, 12 13 15 16 0;
95, 12 13 15 16 18;
96, 12 13 16 0 0;
97, 12 14 18 21 0;
98, 12 14 18 21 24;
99, 12 14 18 21 27;
100, 12 14 21 0 0;
101, 12 15 16 18 0;
102, 12 15 16 20 0;
103, 12 15 18 20 0;
104, 12 15 20 0 0;
105, 12 15 21 28 0;
106, 12 16 19 0 0;
107, 13 14 16 0 0;
108, 13 18 23 0 0;
109, 14 15 17 19 20 21;
110, 14 17 20 23 0;
111, 14 17 21 0 0;
112, 14 18 21 0 0;
113, 14 18 21 24 0;
114, 14 18 21 27 0;
115, 14 21 24 0 0;
116, 15 16 20 24 0;
117, 15 18 20 24 0;
118, 15 18 20 25 0;
119, 15 18 21 25 0;
120, 15 20 24 0 0;
121, 16 18 20 24 27;
122, 16 18 21 25 28;
123, 16 19 24 0 0;
124, 16 20 24 27 36;
125, 16 20 24 27 36 45;
126, 16 20 25 0 0;
127, 16 20 25 28 0;
128, 16 20 25 30 0;
129, 16 21 24 28 0;
130, 17 21 28 0 0;
131, 18 22 27 0 0;
132, 18 22 27 30 33;
133, 18 22 27 33 0;
134, 18 23 27 0 0;
135, 19 24 32 0 0;
136, 20 24 30 35 0;
137, 20 24 30 36 45;
138, 20 25 30 36 0;
139, 20 25 30 36 45;
140, 20 25 30 36 45 54;
141, 20 25 28 35 0;
142, 20 28 35 0 0;
143, 21 23 25 28 0;
144, 21 24 26 28 0;
145, 21 24 27 28 0;
146, 21 25 30 35 0;
147, 21 27 35 0 0;
148, 21 28 34 0 0;
149, 21 30 35 0 0;
150, 22 24 26 28 33;
151, 22 26 33 0 0;
152, 22 26 33 39 0;
153, 22 28 33 0 0;
154, 24 27 29 34 36;
155, 24 27 30 32 0;
156, 24 27 30 36 40 45;
157, 24 27 32 36 0;
158, 24 28 30 35 40 42;
159, 24 32 45 0 0;
160, 24 33 40 0 0;
161, 25 30 35 42 0;
162, 25 30 36 0 0;
163, 25 30 36 45 0;
164, 25 30 40 48 0;
165, 26 30 39 0 0;
166, 26 32 39 0 0;
167, 26 33 39 0 0;
168, 26 33 39 44 0;
169, 27 36 48 64 0;
170, 28 33 42 0 0;
171, 28 35 40 0 0;
172, 30 32 36 40 45;
173, 30 35 42 0 0;
174, 30 35 42 50 0;
175, 30 39 45 52 0;
176, 32 36 39 45 48;
177, 32 36 45 54 0;
178, 32 37 48 0 0;
179, 32 39 48 0 0;
180, 32 41 48 0 0;
181, 33 36 42 44 0;
182, 34 36 42 45 0;
183, 34 38 51 0 0;
184, 34 42 51 0 0;
185, 35 42 50 60 0;
186, 35 42 60 0 0;
187, 36 39 44 48 0;
188, 36 45 54 64 0;
189, 38 48 57 0 0;
190, 38 51 57 0 0;
191, 39 44 49 52 0;
192, 39 45 52 0 0;
193, 40 45 48 56 60;
194, 40 45 50 56 60;
195, 40 45 50 60 72;
196, 42 45 48 56 63;
197, 42 45 51 56 63;
198, 42 46 50 54 63;
199, 42 46 50 55 63;
200, 42 46 50 54 55 63;
201, 42 46 50 56 63;
202, 42 48 51 56 63;
203, 42 49 60 0 0;
204, 42 51 68 0 0;
205, 42 52 63 0 0;
206, 44 48 52 56 57 66;
207, 44 55 70 0 0;
208, 44 56 66 77 0;
209, 45 48 56 60 0;
210, 46 54 69 0 0;
211, 46 54 69 81 0;
212, 46 56 69 0 0;
213, 48 54 56 63 0;
214, 48 54 56 63 72;
215, 48 54 57 64 0;
216, 48 54 57 64 72;
217, 48 54 58 67 72;
218, 49 56 64 0 0;
219, 51 54 60 68 0;
220, 52 63 78 0 0;
221, 52 63 84 0 0;
222, 54 56 63 72 0;
223, 54 58 67 72 0;
224, 54 58 67 72 81;
225, 54 64 81 0 0;
226, 54 64 81 96 0;
227, 54 69 81 92 0;
228, 55 65 77 0 0;
229, 56 63 72 78 84;
230, 56 66 84 99 0;
231, 56 69 84 0 0;
232, 60 64 72 79 90;
233, 60 66 71 80 90;
234, 63 78 91 104 0;
235, 63 81 91 0 0;
236, 64 81 96 0 0;
237, 64 81 96 108 0;
238, 65 78 100 0 0;
239, 66 72 78 88 99;
240, 66 72 81 88 0;
241, 66 84 99 112 0;
242, 70 77 91 100 0;
243, 70 84 105 120 0;
244, 70 90 105 126 0;
245, 72 79 89 96 0;
246, 72 81 88 96 0;
247, 72 81 88 96 108;
248, 72 81 104 0 0;
249, 72 81 104 117 0;
250, 72 81 112 126 0;
251, 74 96 111 0 0;
252, 78 84 96 104 117;
253, 78 91 108 0 0;
254, 81 88 96 108 0;
255, 88 99 108 126 132;
256, 90 96 112 120 135;
257, 91 112 130 0 0;
258, 96 105 114 124 126 144;
259, 96 105 114 128 0;
260, 96 105 114 128 144;
261, 102 108 120 136 153;
262, 114 122 138 150 171;
263, 120 135 144 160 180;
264, 120 135 152 160 0;
265, 120 140 165 192 0;
266, 126 162 189 224 0;
267, 130 169 220 0 0;
268, 132 143 156 176 0;
269, 132 147 156 176 0;
270, 132 147 156 176 198;
271, 135 160 192 225 0;
